LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month,Mean_Payment,Mean_Bill,MP_<_MB/2,Most_Common,Limit_Status,Sept_Amount,Tree1,Tree2,Tree3,Tree4,Tree5,Tree6,Tree7,Tree8,Heredity1
30000,2,5,2,22,0,0,0,0,0,0,13738,10455,19869,26173,26848,27266,4000,10001,7000,1107,1000,1010,0,4019.6666666666665,20724.833333333332,1,0.0,3.3410333333333333,0,0,1,0,0,0,0,0,0,0
150000,2,1,2,39,-1,-1,-1,-1,-1,-1,1709,14674,771,1365,10965,1488,14674,771,1375,10965,1488,4328,0,5600.166666666667,5162.0,0,-1.0,-0.017526666666666666,0,0,1,0,0,0,0,0,0,1
50000,1,3,1,44,0,0,0,0,0,0,15109,16117,17217,18005,18369,18888,1263,1363,1151,515,670,780,0,957.0,17284.166666666668,1,0.0,1.95926,0,0,1,0,0,0,0,0,0,0
50000,1,2,2,53,0,0,0,0,0,0,18922,19486,19917,20017,20146,20221,1329,1310,680,705,728,690,0,907.0,19784.833333333332,1,0.0,2.26534,0,0,1,0,0,0,0,0,0,0
100000,1,3,1,49,0,0,-2,-2,-2,-2,33333,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5555.5,1,-2.0,0.33333,1,1,0,0,0,0,0,0,0,0
50000,2,1,2,25,0,0,0,0,0,0,38153,34476,25857,26621,27178,28038,1700,2000,1500,1000,1300,1300,0,1466.6666666666667,30053.833333333332,1,0.0,3.43046,1,0,1,0,0,0,0,0,0,0
50000,1,3,2,29,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,-2.0,0.0,0,1,0,0,0,0,0,0,0,4
140000,2,2,2,27,0,0,0,0,0,0,136899,139889,142460,142020,139879,140810,5200,6000,5500,5900,5200,5000,0,5466.666666666667,140326.16666666666,1,0.0,5.779692857142857,0,0,1,0,0,0,0,0,0,0
230000,2,2,2,36,-2,-2,-2,-2,-2,-2,140,358,285,219,415,142,358,285,219,416,142,3000,0,736.6666666666666,259.8333333333333,0,-2.0,-0.012439130434782609,0,1,0,0,0,0,0,0,0,4
180000,2,3,2,32,0,0,0,0,0,0,183512,172194,176105,171475,134590,133146,7700,8254,9600,4712,4995,5000,0,6710.166666666667,161837.0,1,0.0,5.1708944444444445,1,0,1,0,0,0,0,0,0,0
