Variable,Score
HighBP,6.666666666666667
HighChol,6.666666666666667
CholCheck,23.333333333333332
BMI,76.66666666666667
Smoker,0.0
Stroke,60.0
HeartDiseaseorAttack,66.66666666666667
PhysActivity,0.0
Fruits,0.0
Veggies,0.0
HvyAlcoholConsump,66.66666666666667
AnyHealthcare,0.0
NoDocbcCost,0.0
GenHlth,66.66666666666667
MentHlth,33.333333333333336
PhysHlth,0.0
DiffWalk,63.333333333333336
Sex,60.0
Age,100.0
BMI_Underweight,0.0
BMI_Healthy,0.0
BMI_Overweight,0.0
BMI_Obese,0.0
Log_BMI,90.0
Never_Attended,0.0
Grades_1_8,23.333333333333332
Grades_9_11,0.0
GED,0.0
College_1_3,0.0
College_4+,0.0
"<10,000",0.0
"<15,000",0.0
"<20,000",0.0
"<25,000",0.0
"<35,000",0.0
"<50,000",66.66666666666667
"<75,000",66.66666666666667
"75,000+",66.66666666666667
MentHlth_cat,0.0
PhysHlth_cat,0.0
GenHlth_cat,33.333333333333336
Interaction_1,66.66666666666667
Interaction_2,66.66666666666667
Interaction_3,66.66666666666667
Interaction_4,20.0
Interaction_5,43.333333333333336
Interaction_6,0.0
Tree_1,66.66666666666667
Tree_2,0.0
Tree_3,0.0
Tree_4,0.0
Tree_5,0.0
Tree_6,13.333333333333334
Tree_7,0.0
Tree_8,0.0
