Variable,Score
HighBP,16.666666666666668
HighChol,30.0
CholCheck,10.0
BMI,80.0
Smoker,66.66666666666667
Stroke,66.66666666666667
HeartDiseaseorAttack,66.66666666666667
PhysActivity,66.66666666666667
Fruits,66.66666666666667
Veggies,66.66666666666667
HvyAlcoholConsump,46.666666666666664
AnyHealthcare,63.333333333333336
NoDocbcCost,63.333333333333336
GenHlth,66.66666666666667
MentHlth,66.66666666666667
PhysHlth,66.66666666666667
DiffWalk,66.66666666666667
Sex,66.66666666666667
Age,66.66666666666667
BMI_Underweight,3.3333333333333335
BMI_Healthy,10.0
BMI_Overweight,20.0
BMI_Obese,6.666666666666667
Log_BMI,86.66666666666667
Never_Attended,0.0
Grades_1_8,30.0
Grades_9_11,53.333333333333336
GED,66.66666666666667
College_1_3,66.66666666666667
College_4+,66.66666666666667
"<10,000",63.333333333333336
"<15,000",66.66666666666667
"<20,000",66.66666666666667
"<25,000",66.66666666666667
"<35,000",66.66666666666667
"<50,000",66.66666666666667
"<75,000",66.66666666666667
"75,000+",66.66666666666667
MentHlth_cat,36.666666666666664
PhysHlth_cat,63.333333333333336
GenHlth_cat,36.666666666666664
Interaction_1,100.0
Interaction_2,36.666666666666664
Interaction_3,33.333333333333336
Interaction_4,43.333333333333336
Interaction_5,66.66666666666667
Interaction_6,10.0
Tree_1,36.666666666666664
Tree_2,30.0
Tree_3,6.666666666666667
Tree_4,16.666666666666668
Tree_5,30.0
Tree_6,6.666666666666667
Tree_7,3.3333333333333335
Tree_8,33.333333333333336
