Variable,Score
HighBP,53.333333333333336
HighChol,26.666666666666668
CholCheck,93.33333333333333
BMI,100.0
Smoker,33.333333333333336
Stroke,73.33333333333333
HeartDiseaseorAttack,66.66666666666667
PhysActivity,53.333333333333336
Fruits,33.333333333333336
Veggies,33.333333333333336
HvyAlcoholConsump,66.66666666666667
AnyHealthcare,0.0
NoDocbcCost,36.666666666666664
GenHlth,100.0
MentHlth,96.66666666666667
PhysHlth,96.66666666666667
DiffWalk,66.66666666666667
Sex,66.66666666666667
Age,100.0
BMI_Underweight,0.0
BMI_Healthy,0.0
BMI_Overweight,0.0
BMI_Obese,33.333333333333336
Log_BMI,100.0
Never_Attended,0.0
Grades_1_8,96.66666666666667
Grades_9_11,66.66666666666667
GED,33.333333333333336
College_1_3,33.333333333333336
College_4+,33.333333333333336
"<10,000",43.333333333333336
"<15,000",56.666666666666664
"<20,000",53.333333333333336
"<25,000",33.333333333333336
"<35,000",6.666666666666667
"<50,000",33.333333333333336
"<75,000",33.333333333333336
"75,000+",100.0
MentHlth_cat,0.0
PhysHlth_cat,0.0
GenHlth_cat,53.333333333333336
Interaction_1,100.0
Interaction_2,66.66666666666667
Interaction_3,100.0
Interaction_4,63.333333333333336
Interaction_5,100.0
Interaction_6,76.66666666666667
Tree_1,100.0
Tree_2,33.333333333333336
Tree_3,26.666666666666668
Tree_4,66.66666666666667
Tree_5,66.66666666666667
Tree_6,60.0
Tree_7,33.333333333333336
Tree_8,86.66666666666667
