Variable,Score
HighBP,0.0
HighChol,0.0
CholCheck,0.0
BMI,73.33333333333333
Smoker,0.0
Stroke,0.0
HeartDiseaseorAttack,0.0
PhysActivity,0.0
Fruits,36.666666666666664
Veggies,0.0
HvyAlcoholConsump,0.0
AnyHealthcare,0.0
NoDocbcCost,0.0
GenHlth,0.0
MentHlth,66.66666666666667
PhysHlth,66.66666666666667
DiffWalk,0.0
Sex,0.0
Age,66.66666666666667
BMI_Underweight,0.0
BMI_Healthy,0.0
BMI_Overweight,0.0
BMI_Obese,0.0
Log_BMI,83.33333333333333
Grades_1_8,0.0
2.0,0.0
Grades_9_11,0.0
GED,0.0
College_1_3,26.666666666666668
College_4+,0.0
"<15,000",0.0
2.0,0.0
"<20,000",0.0
"<25,000",0.0
"<35,000",0.0
"75,000+",0.0
"<75,000",0.0
8.0,0.0
MentHlth_cat,0.0
PhysHlth_cat,0.0
GenHlth_cat,0.0
Interaction_1,70.0
Interaction_2,33.333333333333336
Interaction_3,0.0
Interaction_4,0.0
Interaction_5,33.333333333333336
Interaction_6,0.0
Tree_1,0.0
Tree_2,0.0
Tree_3,0.0
Tree_4,0.0
Tree_5,0.0
Tree_6,0.0
Tree_7,0.0
Tree_8,0.0
